S/N,STATE,LGA,REGISTRATION AREA,POLLING UNIT,DELIMITATION,TOTAL
1,JIGAWA,AUYO,AUYO,AUYO SPECIAL PRI. SCH. AUYO KUKA,17-01-01-001,2446
2,JIGAWA,AUYO,AUYO,AUYO VETNARY - VETNARY,17-01-01-002,750
3,JIGAWA,AUYO,AUYO,AUYO BAYI,17-01-01-003,755
4,JIGAWA,AUYO,AUYO,KOFAR AMADU AUYO KIRA,17-01-01-004,750
5,JIGAWA,AUYO,AUYO,AUYO GABAS PRI. SCH. AUYO GABAS,17-01-01-005,851
6,JIGAWA,AUYO,AUYO,"AUYO DISPENSARY, AUYO DISPENSARY",17-01-01-006,641
7,JIGAWA,AUYO,AUYO,"JAMAAR AIKALI MAIBAURE, MAI BAURE",17-01-01-007,629
8,JIGAWA,AUYO,AUYO,"KAZIYETA K. FADA, KAZIYETA",17-01-01-008,453
9,JIGAWA,AUYO,AUYO,"TSURUTAWA, TSURUTAWA",17-01-01-009,321
10,JIGAWA,AUYO,AUYO,HADIYO PRI. SCH HADIYO,17-01-01-010,826
11,JIGAWA,AUYO,AUYO,MAKERAYI VILLAGE,17-01-01-011,522
12,JIGAWA,AUYO,AUYO,"GIDAN DALLAH PRI. SCH., GIDAN DALLAH",17-01-01-012,765
13,JIGAWA,AUYO,AUYO,ZABARO PRI. SCH. ZABARO,17-01-01-013,1137
14,JIGAWA,AUYO,AUYO,AUYO SPECIAL PRI. SCHOOL YAMMA,17-01-01-014,36
15,JIGAWA,AUYO,AUYO,AUYO SPECIAL PRI. SCHOOL KUDU,17-01-01-015,69
16,JIGAWA,AUYO,AUYO,AUYO WOMEN CENTER,17-01-01-016,162
17,JIGAWA,AUYO,AUYO,E.P.I OFFICE AUYO,17-01-01-017,677
18,JIGAWA,AUYO,AUYO,UPPER SHARIA COURT AUYO,17-01-01-018,194
19,JIGAWA,AUYO,AUYO,AUYO SABUWA,17-01-01-019,148
20,JIGAWA,AUYO,AUYO,AUYO BULUKAI,17-01-01-020,750
21,JIGAWA,AUYO,AUYO,AUYO CENTRAL JUNIOR SECONDARY SCHOOL,17-01-01-021,198
22,JIGAWA,AUYO,AUYO,AUYO ISLAMIYYA PRIMARY SCHOOL,17-01-01-022,519
23,JIGAWA,AUYO,AUYO,HADIYO PRIMARY SCHOOL II,17-01-01-023,59
24,JIGAWA,AUYO,AUYO,ZABARO PRIMARY SCHOOL KUDU,17-01-01-024,224
25,JIGAWA,AUYO,AUYAKAYI,"AUYAKAYI PRI. SCH, AUYAKAYI",17-01-02-001,900
26,JIGAWA,AUYO,AUYAKAYI,KUDIGIN PRI. SCH. KUDIGIN,17-01-02-002,952
27,JIGAWA,AUYO,AUYAKAYI,"AKUBUSHIN PRI. SCH., AKUBISHIN",17-01-02-003,920
28,JIGAWA,AUYO,AUYAKAYI,"RIGAR MAAJI K.FADA, RIGAR NA'AJI",17-01-02-004,334
29,JIGAWA,AUYO,AUYAKAYI,"SHAWARA PRI. SCH, SHAWARA",17-01-02-005,418
30,JIGAWA,AUYO,AUYAKAYI,"CHIROMAWA PRI. SCH., CHIROMAWA",17-01-02-006,393
31,JIGAWA,AUYO,AUYAKAYI,"KARSHA DUNKUN K.FADA, KARSHA DUNKUN",17-01-02-007,449
32,JIGAWA,AUYO,AUYAKAYI,"MATAKUWA K. FADA, AYATAKUWA",17-01-02-008,793
33,JIGAWA,AUYO,AUYAKAYI,"MARAKAWA FADA, MARAKAWA VILLAGE",17-01-02-009,381
34,JIGAWA,AUYO,AUYAKAYI,UNGUWAR TUWANA,17-01-02-010,108
35,JIGAWA,AUYO,AUYAKAYI,GIDAN JIGAWA,17-01-02-011,193
36,JIGAWA,AUYO,AUYAKAYI,KUDIGIN ANKU,17-01-02-012,166
37,JIGAWA,AUYO,AYAMA,AYAMA PRI. SCH. AYAMA I,17-01-03-001,750
38,JIGAWA,AUYO,AYAMA,AYAMA PRI. SCH. AYAMA II,17-01-03-002,958
39,JIGAWA,AUYO,AYAMA,ANAUYA K. FADA ANUAYA,17-01-03-003,669
40,JIGAWA,AUYO,AYAMA,"KIGIN PRI. SCH., KIGIN",17-01-03-004,644
41,JIGAWA,AUYO,AYAMA,UZA PRI. SCH. UZA,17-01-03-005,821
42,JIGAWA,AUYO,AYAMA,SAFA PRI. SCH. SAFA BABBA,17-01-03-006,824
43,JIGAWA,AUYO,AYAMA,"SAFA PRY SCH, SAFA KARFI",17-01-03-007,631
44,JIGAWA,AUYO,AYAMA,SHAMARMA PRI. SCH. SHAMARMA,17-01-03-008,900
45,JIGAWA,AUYO,AYAMA,GIDAN BAKWARE K. FADA GIDAN BAKWARE,17-01-03-009,324
46,JIGAWA,AUYO,AYAMA,ASUDUWA K. FADA ASUDUWA,17-01-03-010,407
47,JIGAWA,AUYO,AYAMA,MAGARYA K. FADA MAGARYA,17-01-03-011,633
48,JIGAWA,AUYO,AYAMA,"DOGARA VILLAGE, DOGARA",17-01-03-012,294
49,JIGAWA,AUYO,AYAMA,AYAMA DISPENSARY,17-01-03-013,71
50,JIGAWA,AUYO,AYAMA,JSS AYAMA,17-01-03-014,461
51,JIGAWA,AUYO,AYAMA,SHAMARMA MARO,17-01-03-015,383
52,JIGAWA,AUYO,AYAMA,SAFA DISPENSARY BABBA,17-01-03-016,77
53,JIGAWA,AUYO,AYAN,AYAN PRI. SCH AYAN,17-01-04-001,759
54,JIGAWA,AUYO,AYAN,"GASTIFI K. FADA , GASTIFI VILLAGE",17-01-04-002,477
55,JIGAWA,AUYO,AYAN,DAWAYA K. FADA DAWAYA/MAINARI,17-01-04-003,463
56,JIGAWA,AUYO,AYAN,ATURA K. FADA ATURA JAMAAR AYAN,17-01-04-004,391
57,JIGAWA,AUYO,AYAN,KATAUDI PRI. SCH. KATAUDI 'A',17-01-04-005,478
58,JIGAWA,AUYO,AYAN,AYAMASKUKA K. FADA AYAMASKUKA,17-01-04-006,577
59,JIGAWA,AUYO,AYAN,MAJE PRI. SCH. MAJE HAUSAWA/FUL,17-01-04-007,825
60,JIGAWA,AUYO,AYAN,ATAKAJIYA K. FADA ATAKAJIYA,17-01-04-008,266
61,JIGAWA,AUYO,AYAN,JAMAAR GABAS K. FADA JAMAAR GABAS,17-01-04-009,218
62,JIGAWA,AUYO,AYAN,"KATAUDI PRY SCH, KATAUDI 'B'",17-01-04-010,430
63,JIGAWA,AUYO,GAMAFOI,GAMAFOI PRI. SCH GAMAFOI KWAZIMO,17-01-05-001,473
64,JIGAWA,AUYO,GAMAFOI,AGAMO K. FADA AGAMO,17-01-05-002,450
65,JIGAWA,AUYO,GAMAFOI,JURA K. FADA JURA,17-01-05-003,684
66,JIGAWA,AUYO,GAMAFOI,BIRITAN K. FADA BIRITAN,17-01-05-004,541
67,JIGAWA,AUYO,GAMAFOI,GANDUN KADIR K. FADA GANDUN KADIR,17-01-05-005,355
68,JIGAWA,AUYO,GAMAFOI,KATAIJE K. FADA KATAIJE,17-01-05-006,526
69,JIGAWA,AUYO,GAMAFOI,GIDAN MAITANDU K. FADA,17-01-05-007,565
70,JIGAWA,AUYO,GAMAFOI,GASANYA PRI. SCH. GASANYA,17-01-05-008,906
71,JIGAWA,AUYO,GAMAFOI,"KWAZIMO, KWAZIMO VILLAGE",17-01-05-009,565
72,JIGAWA,AUYO,GAMAFOI,GASANYA PRIMARY SCHOOL II,17-01-05-010,161
73,JIGAWA,AUYO,GAMSARKA,GAMSARKA PRI. SCH GAMSARKA TAGIR,17-01-06-001,1038
74,JIGAWA,AUYO,GAMSARKA,GAMSARKA PRI. SCH. GAMSARKA ZUMONI,17-01-06-002,695
75,JIGAWA,AUYO,GAMSARKA,HAKUDAU PRI. SCH. HAKUDAU,17-01-06-003,895
76,JIGAWA,AUYO,GAMSARKA,KALGWAI PRI. SCH. KALGWAI A.,17-01-06-004,750
77,JIGAWA,AUYO,GAMSARKA,KAFARDAU PRI. SCH. KAFARDAU,17-01-06-005,661
78,JIGAWA,AUYO,GAMSARKA,GURAJAWA PRI. SCH. GURAJAWA,17-01-06-006,221
79,JIGAWA,AUYO,GAMSARKA,ADAHA PRI. SCH. ADAHA,17-01-06-007,826
80,JIGAWA,AUYO,GAMSARKA,MADO PRI. SCH. MADO I,17-01-06-008,831
81,JIGAWA,AUYO,GAMSARKA,MADO PRI. SCH. MADO II,17-01-06-009,696
82,JIGAWA,AUYO,GAMSARKA,ARAKO K. FADA ARAKO,17-01-06-010,260
83,JIGAWA,AUYO,GAMSARKA,MARINA K. FADA MARINA,17-01-06-011,287
84,JIGAWA,AUYO,GAMSARKA,KALGWAI B. KALGWAI PRY SCH,17-01-06-012,751
85,JIGAWA,AUYO,GAMSARKA,TAGIR CIKIN GARI/B-MASALLACI,17-01-06-013,505
86,JIGAWA,AUYO,GAMSARKA,MAKWALLA KALGWAI,17-01-06-014,133
87,JIGAWA,AUYO,GAMSARKA,HAKUDAU PHC,17-01-06-015,93
88,JIGAWA,AUYO,GAMSARKA,ZUMONI CIKIN GARI/B-MASSALLACI,17-01-06-016,263
89,JIGAWA,AUYO,GATAFA,GATAFA PRI. SCH. GATFA YALWA 'A',17-01-07-001,673
90,JIGAWA,AUYO,GATAFA,GATAFA PRI. SCH. GATAF MADAKI,17-01-07-002,1227
91,JIGAWA,AUYO,GATAFA,GATAFA DISPENSARY GATAFA,17-01-07-003,815
92,JIGAWA,AUYO,GATAFA,TSAKA K. FADA TSAKA,17-01-07-004,658
93,JIGAWA,AUYO,GATAFA,ARGINA PRI. SCH. ARGINA MAJIYA,17-01-07-005,784
